timestamp,err_x,err_y,dist_px,base_angle,camv_angle,dirV,dirH
1772320924.026683,0.25416666666666665,-0.225,94.36630754670864,126,123,-15375.167118580122,123450.29028080063
1772320924.184855,0.5708333333333333,-0.00625,137.01459776242822,126,124,-15389.559564694167,123449.440071961
1772320924.3628552,0.775,0.096875,188.56563843924482,126,125,-15276.164718779533,123372.95257988693
1772320924.51802,0.9583333333333334,0.253125,243.8462630429263,126,126,-15098.484843498905,123119.70751232737
1772320924.6894517,0.8,0.18125,200.5691900566984,127,126,-15184.716923960208,123225.13143554285
1772320924.8628893,0.4125,0.009375,99.04544411531506,128,126,-15286.737193027675,123237.64314215936
1772320925.037812,-0.08333333333333333,-0.3,98.0612053770501,129,126,-15286.575218639033,123234.49658859705
1772320925.1872754,-0.6791666666666667,-0.56875,244.3215094910802,129,127,-14916.185140534253,121560.79616495756
1772320925.5322652,-0.8416666666666667,-0.75,313.69411852950003,129,128,-14669.44697936353,120374.38432772923
1772320925.7143397,-0.3875,-0.6375,224.19857269840057,130,128,-14765.885573557787,121230.50919597992
1772320925.8897061,-0.10833333333333334,-0.446875,145.34441853748632,131,128,-14788.797802832743,121740.50519727833
1772320926.0475254,0.2625,-0.18125,85.63293758829018,132,128,-14750.996289701194,121881.3467930176
1772320926.2278137,0.4708333333333333,-0.0625,114.75626344561765,132,129,-14752.594755368305,121880.20259898079
1772320926.4169362,0.7916666666666666,0.175,198.08079159777205,132,130,-14609.436943070183,121709.43630883732
1772320926.5864978,0.8833333333333333,0.240625,225.55043781824057,132,131,-14523.921542254811,121583.73393972976
1772320926.7580307,0.6958333333333333,0.209375,179.9388785115657,133,131,-14600.967745813603,121708.83274233066
1772320926.9300807,0.23333333333333334,-0.1125,66.57326790837296,134,131,-14666.601446161965,121538.073352493
1772320927.1184893,-0.2875,-0.409375,148.06079832285116,134,132,-14680.668119941409,121646.1691467493
1772320927.3332198,-0.7833333333333333,-0.6875,289.38555596297476,134,133,-14228.139882822725,119503.04302249692
1772320927.6865456,-0.7958333333333333,-0.7375,303.606653418531,134,134,-14181.728889277287,119270.96255154833
1772320927.8627973,-0.44583333333333336,-0.634375,229.4733099948663,135,134,-14271.826262763223,119962.73500391218
1772320928.024944,-0.15416666666666667,-0.478125,157.4102919125684,136,134,-14301.551744622575,120460.19233228198
1772320928.1863327,0.15416666666666667,-0.278125,96.38464608017192,137,134,-14278.46001900143,120684.9836661211
1772320928.3612711,0.39166666666666666,-0.1375,103.78824596263297,137,135,-14283.901329250624,120674.67621762438
1772320928.537537,0.7083333333333334,0.06875,171.41761869772895,137,136,-14231.571064437116,120647.26704729328
1772320928.6959913,0.8458333333333333,0.175,210.58252539087852,137,137,-14130.537665067608,120534.46851580148
1772320928.888796,0.6416666666666667,0.10625,157.70859202973057,138,137,-14207.200685897194,120602.96822395873
1772320929.0670695,0.22916666666666666,-0.128125,68.60029154456998,139,137,-14251.837619573216,120468.30135410852
1772320929.216296,-0.3416666666666667,-0.425,158.80806024884254,139,138,-14260.03765663697,120523.3576676978
1772320929.387322,-0.7833333333333333,-0.690625,290.1465147128257,139,139,-13841.263209924517,118531.06873589102
1772320929.7149875,-0.8083333333333333,-0.75,308.60330523181375,139,140,-13781.072208983305,118229.71250183026
1772320929.8869298,-0.4875,-0.70625,254.48968544913564,140,140,-13851.782297198308,118782.48044271009
